loan_id,client_id,month,year,active_status,location,days_in_delay,loan_scenario,loan_term,MFI,location_change,location_change_count
5,1,3,2020,TRUE,Location1,91>,,14,MFI4,1,2
5,1,4,2021,TRUE,Location4,no delay,,10,MFI4,1,1
5,1,10,2021,TRUE,Location4,0-10,PAR,10,MFI4,0,1
5,1,7,2022,TRUE,Location3,0-10,,11,MFI4,1,1
5,1,7,2022,TRUE,Location1,30-60,,19,MFI4,1,2
5,1,11,2022,TRUE,Location2,30-60,,20,MFI4,1,3
6,1,3,2020,TRUE,Location4,30-60,,9,MFI3,1,1
6,1,12,2020,TRUE,Location4,91>,,18,MFI3,0,1
6,1,3,2021,TRUE,Location4,61-90,,14,MFI3,1,1
6,1,3,2021,TRUE,Location2,30-60,,12,MFI3,1,2
6,1,5,2021,TRUE,Location1,30-Nov,,10,MFI3,1,3
7,1,6,2020,TRUE,Location4,30-Nov,,15,MFI2,1,1
7,1,12,2020,TRUE,Location2,30-60,,8,MFI2,1,2
7,1,6,2021,TRUE,Location3,91>,,17,MFI2,1,1
7,1,9,2021,TRUE,Location1,61-90,,12,MFI2,1,2
7,1,12,2021,TRUE,Location2,no delay,,20,MFI2,1,3
7,1,10,2022,TRUE,Location3,61-90,,18,MFI2,1,1
8,1,12,2020,TRUE,Location1,91>,,20,MFI2,1,1
8,1,8,2021,TRUE,Location2,30-Nov,,12,MFI2,1,1
8,1,12,2021,TRUE,Location2,0-10,,17,MFI2,0,1
8,1,2,2022,TRUE,Location1,61-90,,15,MFI2,1,1
8,1,6,2022,TRUE,Location2,61-90,,9,MFI2,1,2
8,1,6,2022,TRUE,Location4,no delay,,19,MFI2,1,3
9,1,3,2021,TRUE,Location2,61-90,,20,MFI2,1,1
9,1,12,2021,TRUE,Location3,91>,,10,MFI2,1,2
9,1,1,2022,TRUE,Location3,30-60,,9,MFI2,1,1
9,1,7,2022,TRUE,Location4,30-Nov,,15,MFI2,1,2
9,1,12,2022,TRUE,Location2,0-10,,19,MFI2,1,3
10,1,5,2020,TRUE,Location3,30-60,,18,MFI4,1,1
10,1,7,2020,TRUE,Location1,61-90,,16,MFI4,1,2
10,1,9,2020,TRUE,Location3,91>,,10,MFI4,1,3
10,1,8,2021,TRUE,Location4,91>,,16,MFI4,1,1
10,1,12,2021,TRUE,Location2,61-90,,8,MFI4,1,2
10,1,3,2022,TRUE,Location1,91>,,20,MFI4,1,1
11,1,2,2020,TRUE,Location2,30-60,,18,MFI2,1,1
11,1,7,2020,TRUE,Location3,91>,,19,MFI2,1,2
11,1,11,2020,TRUE,Location3,0-10,,8,MFI2,0,2
11,1,1,2021,TRUE,Location1,0-10,,18,MFI2,1,1
11,1,2,2021,TRUE,Location3,0-10,,15,MFI2,1,2
11,1,4,2021,TRUE,Location4,61-90,,9,MFI2,1,3
11,1,6,2022,TRUE,Location2,30-Nov,,9,MFI2,1,1
11,1,8,2022,TRUE,Location1,0-10,,18,MFI2,1,2
12,1,3,2020,TRUE,Location3,91>,,15,MFI4,1,1
12,1,4,2020,TRUE,Location4,91>,,15,MFI4,1,2
12,1,12,2020,TRUE,Location3,no delay,,12,MFI4,1,3
12,1,3,2021,TRUE,Location3,no delay,,18,MFI4,1,1
12,1,5,2022,TRUE,Location1,no delay,,18,MFI4,1,1
12,1,12,2022,TRUE,Location2,61-90,,19,MFI4,1,2
13,1,7,2020,TRUE,Location1,30-Nov,,8,MFI2,1,1
13,1,9,2020,TRUE,Location2,30-60,,10,MFI2,1,2
13,1,10,2020,TRUE,Location3,91>,,9,MFI2,1,3
13,1,2,2021,TRUE,Location3,61-90,,15,MFI2,1,1
13,1,5,2021,TRUE,Location2,91>,,10,MFI2,1,2
13,1,10,2021,TRUE,Location2,61-90,,9,MFI2,0,2
13,1,11,2022,TRUE,Location4,0-10,,9,MFI2,1,1
14,1,9,2020,TRUE,Location2,0-10,,10,MFI1,1,1
14,1,1,2021,TRUE,Location4,0-10,,18,MFI1,1,1
14,1,4,2021,TRUE,Location2,30-60,,18,MFI1,1,2
14,1,4,2021,TRUE,Location4,61-90,,18,MFI1,1,3
14,1,6,2021,TRUE,Location4,30-60,,9,MFI1,0,3
14,1,9,2022,TRUE,Location4,30-60,,20,MFI1,1,1
14,1,11,2022,TRUE,Location1,61-90,,12,MFI1,1,2
15,1,4,2020,TRUE,Location3,61-90,,14,MFI2,1,1
15,1,12,2020,TRUE,Location4,no delay,,14,MFI2,1,2
15,1,3,2021,TRUE,Location1,61-90,,14,MFI2,1,1
15,1,4,2021,TRUE,Location1,91>,,14,MFI2,0,1
15,1,6,2021,TRUE,Location2,61-90,,20,MFI2,1,2
15,1,5,2022,TRUE,Location3,30-Nov,,13,MFI2,1,1
15,1,10,2022,TRUE,Location4,61-90,,15,MFI2,1,2
15,1,12,2022,TRUE,Location2,30-60,,10,MFI2,1,3
16,1,12,2020,TRUE,Location4,61-90,,15,MFI1,1,1
16,1,3,2021,TRUE,Location4,no delay,,9,MFI1,1,1
16,1,6,2021,TRUE,Location1,0-10,,16,MFI1,1,2
16,1,10,2022,TRUE,Location4,91>,,17,MFI1,1,1
17,1,3,2020,TRUE,Location1,61-90,,18,MFI4,1,1
17,1,2,2021,TRUE,Location3,30-60,,10,MFI4,1,1
17,1,12,2021,TRUE,Location3,0-10,,15,MFI4,0,1
17,1,8,2022,TRUE,Location1,30-Nov,,10,MFI4,1,1
17,1,11,2022,TRUE,Location4,61-90,,12,MFI4,1,2
18,1,2,2020,TRUE,Location3,61-90,,19,MFI1,1,1
18,1,10,2020,TRUE,Location4,no delay,,20,MFI1,1,2
18,1,12,2020,TRUE,Location1,61-90,,14,MFI1,1,3
18,1,3,2021,TRUE,Location2,61-90,,20,MFI1,1,1
18,1,4,2021,TRUE,Location4,no delay,,8,MFI1,1,2
18,1,5,2021,TRUE,Location4,91>,,16,MFI1,0,2
18,1,9,2021,TRUE,Location4,61-90,,8,MFI1,0,2
18,1,11,2021,TRUE,Location4,no delay,,20,MFI1,0,2
18,1,4,2022,TRUE,Location4,0-10,,12,MFI1,1,1
18,1,8,2022,TRUE,Location4,no delay,,15,MFI1,0,1
19,1,6,2020,TRUE,Location4,30-60,,15,MFI1,1,1
19,1,10,2020,TRUE,Location3,91>,PAR,10,MFI1,1,2
19,1,11,2020,TRUE,Location1,61-90,,16,MFI1,1,3
19,1,10,2021,TRUE,Location4,30-60,,20,MFI1,1,1
19,1,9,2022,TRUE,Location3,30-60,,10,MFI1,1,1
19,1,11,2022,TRUE,Location1,30-Nov,,14,MFI1,1,2
20,1,1,2020,TRUE,Location2,91>,,8,MFI3,1,1
20,1,8,2020,TRUE,Location1,30-60,,17,MFI3,1,2
20,1,11,2020,TRUE,Location1,91>,,10,MFI3,0,2
20,1,12,2020,TRUE,Location3,30-Nov,,8,MFI3,1,3
20,1,2,2021,TRUE,Location4,91>,,10,MFI3,1,1
20,1,4,2021,TRUE,Location1,30-Nov,,14,MFI3,1,2
20,1,11,2021,TRUE,Location2,0-10,,15,MFI3,1,3
